
PKEY                         ,   INST_ID,    CON_ID,NAME                                                                            ,VALUE                                                       ,DEFAULT_VALUE                 ,ISDEFA
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_22                                                             ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_23                                                             ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_24                                                             ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_25                                                             ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_26                                                             ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_27                                                             ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_28                                                             ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_29                                                             ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_30                                                             ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_31                                                             ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_1                                                        ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_2                                                        ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_3                                                        ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_4                                                        ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_5                                                        ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_6                                                        ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_7                                                        ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_8                                                        ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_9                                                        ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_10                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_11                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_12                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_13                                                       ,enable                                                      ,enable                        ,TRUE
